,NOD32,SUPERAntiSpyware,Acronis,TrendMicro-HouseCall,Command,eGambit,Baidu-International,Antiy-AVL,Paloalto,SymantecMobileInsight,Babable,DrWeb,F-Prot,CAT-QuickHeal,Zoner,McAfee,Invincea,SecureWeb-Gateway,TACHYON,FireEye,CrowdStrike,NOD32Beta,AVware,AhnLab-V3,Baidu,AhnLab,K7GW,Authentium,Cynet,NOD32v2,VIRobot,McAfee-GW-Edition,MaxSecure,AVG,Tencent,VirusBuster,VIPRE,TheHacker,AntiVir,TrendMicro,UNA,Norman,Cybereason,eTrust-InoculateIT,McAfee+Artemis,PCTools,Endgame,Elastic,PandaBeta2,CyrenCloud,Avast,Fortinet,Prevx1,AegisLab,McAfeeBeta,eTrust-Vet,Agnitum,Ikarus,ESET-NOD32,VBA32,BitDefenderTheta,Kaspersky,Arcabit,Bkav,ZoneAlarm,a-squared,ahnlab,NANO-Antivirus, CarpeDiem (v),DrWebSE,PandaB3,Comodo,Panda,ViRobot,PandaBeta,eScan,Prevx,Cylance,T3,Gridinsoft,Alibaba,Kaspersky21,Malwarebytes3,Avast-Mobile,Sunbelt,CMC,Jiangmin,MicroWorld-eScan,eSafe,Kingsoft,Emsisoft,Zillya,ByteHero,Avira,Yandex,APEX,F-Prot4,K7AntiVirus,Symantec,ALYac,ClamAV,Trapmine,SophosML,nProtect,Webwasher-Gateway,Antivir7,Microsoft,Cyren,Sangfor,Malwarebytes,TotalDefense,MAX,Sophos,WhiteArmor,Webroot,Trustlook,Avast5,F-Secure,FileAdvisor,SentinelOne,Qihoo-360,BitDefender,Ewido,Commtouch,GData,BitDefenderFalx,SAVMail,Ad-Aware,FortinetBeta,Rising
NOD32,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6e-06,8.01e-06,2.267e-05,3.5e-07,0.0,0.0,0.0,0.0,0.0,0.09527582,0.0,0.00020699,0.0,0.0,0.0,0.0,0.0,0.02257424,0.0,1.05e-06,0.0,0.00027619,0.0,1.037e-05,0.0,1.158e-05,1.991e-05,0.0,0.0,0.0,0.0,3.293e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.824e-05,0.0,0.0,0.0,0.00218506,3.84e-06,0.0,0.11346348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.517e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.29e-05,1.391e-05,0.0,0.0,0.00201688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPERAntiSpyware,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011682,0.0,0.00132306,0.00148702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00191268,0.0,6.959e-05,0.0,8.27e-06,0.0,0.0,0.0,0.0,1.08e-06,3.239e-05,3.41e-06,0.0,0.0,0.00168213,0.0,7.76e-06,0.0,0.00081405,0.0,0.0,0.0,0.0,0.00359092,0.0,0.0,0.0,0.0,0.0,4.85e-06,0.00046702,7.46e-05,0.0,0.0,0.0,0.0020598,0.0,0.00229368,0.0,0.0,4.95e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00083373,0.0,0.00104822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47e-06,0.0,0.0,0.0,7.7e-06,0.00181113,4.098e-05,8.603e-05,0.0,0.0,0.0,0.00010103,0.0,0.0,0.0,0.0,0.0088026,0.0,0.0,0.0,0.0,0.00131406,0.0,0.0,0.0,0.0,0.0,0.0,1.48e-06,0.00149781,0.0,0.0,0.0,0.0,0.0,0.0,4.47e-06
Acronis,0.0,0.0,1.0,0.0,0.0,0.0,4.15e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.06e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrendMicro-HouseCall,0.0,0.0,0.0,1.0,0.0,0.0,2.373e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71432976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.322e-05,5.54e-06,0.0,0.0,0.0,0.0,9.8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.53e-06,1.19e-06
Command,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01004258,0.0,0.0,3.5e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03836579,0.0,0.0,0.0,1.08e-06,0.0,0.0,0.0,0.0,0.0,6.96e-06,7.397e-05,0.0,0.0,3.961e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00079051,0.00078864,1.277e-05,8.039e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00077821,0.0,0.00042912,0.0,0.00144578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.156e-05,0.0,0.0,0.01867816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00210963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99e-06,0.0,0.0,0.0,0.0,0.0,0.00837452,0.0,0.0,0.0,0.0,0.00192184,0.0
eGambit,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.056e-05,7.127e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017298,0.0,0.0,0.0,0.0,0.0,0.0,0.00265957,0.0,0.0,0.0,0.0,4.181e-05,0.0,1.27e-05,0.0,0.0,2.53e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.59e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.58e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baidu-International,0.0,0.0,4.15e-06,2.373e-05,0.0,0.0,1.0,0.00016165,0.0,0.0,0.0,0.0,0.0,1.192e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012103,0.0,0.00021455,0.0,0.0,0.0,0.0,0.0,4.15e-06,0.0,2.766e-05,0.0,0.00025378,0.0,0.00030267,0.0,0.0,2.501e-05,2.072e-05,0.0,0.0,0.0,0.0,4.05e-06,0.0,0.0,0.0,0.0,0.0,2.28e-06,8.29e-06,0.0,0.0,0.0,0.0,0.00089574,0.0,0.00194324,0.0,0.01825699,1.727e-05,0.0,0.00706698,0.0,0.0,1.88e-06,0.0,0.0,0.0,0.0004204,0.0,5.6e-06,0.0,0.0,0.0,0.0,4.975e-05,0.0,0.0,4.15e-06,0.0,0.0,0.00063026,0.0,5.288e-05,1.101e-05,6.738e-05,0.0,0.0,0.0,1.658e-05,0.0,0.0,0.0,0.0,0.00064571,3.91e-06,1.393e-05,1.95e-06,0.0,0.0,5.13e-06,0.0,0.0,4.295e-05,0.0,0.00032839,3.89e-06,0.0,0.0,0.0,0.0,1.195e-05,0.0,0.0,0.00042797,0.0,0.0,0.00033588,9.9e-06,0.0,0.0,8.123e-05,0.0,0.0,1.202e-05,0.0,0.00024463
Antiy-AVL,0.0,0.0,0.0,0.0,0.0,0.0,0.00016165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00319039,0.00016131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.02e-06,0.0,0.0,6.2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016459,0.0,0.00014377,0.0,0.00012253,0.0,0.0,0.00022547,0.0,0.0,0.0,0.0,0.0,0.0,1.862e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025216,0.0,2.47e-05,0.0,9.995e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.413e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014017,2.861e-05,0.0,0.0,0.0,0.0,0.00017414,0.0,0.0,2.879e-05,0.0,0.0,7.4e-06,0.0,0.0,0.0,6.02e-06,0.0,0.0,0.0,0.0,0.0
Paloalto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SymantecMobileInsight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
